Region,April 2010,July 2018,Total Change,Percent Change,
United States,"308,758,105","327,167,434","18,409,329",6.0,
Northeast,"55,318,430","56,111,079","792,649",1.4,
Midwest,"66,929,743","68,308,744","1,379,001",2.1,
South,"114,563,045","124,753,948","10,190,903",8.9,
West,"71,946,887","77,993,663","6,046,776",8.4,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
